Identity	Male	Born_USA	Birth	Final	Alive	Films	Wins	Noms	FirstWin_Year	FirstNom_Year
578	1	No 	1902	1987	0	37	0	0		
579	1	No 	1914	2001	1	3	1	1	1946	1946
580	0	No 	1921	2001	1	8	0	0		
581	1	Yes	1942	2001	1	46	0	1		1985
582	1	Yes	1895	1967	0	41	0	0		
583	1	Yes	1905	1993	0	27	0	0		
584	1	Yes	1878	1947	0	161	0	1		1939
585	1	Yes	1891	1954	0	166	0	0		
586	1	Yes	1893	1958	0	13	0	0		
587	1	Yes	1866	1949	0	122	0	0		
588	1	Yes	1901	1985	0	25	0	0		
589	1	Yes	1887	1946	0	87	0	0		
590	1	Yes	1894	1966	0	29	0	0		
591	1	Yes	1939	2001	1	71	0	1		1991
592	0	Yes	1895	1952	0	85	1	1	1939	1939
593	1	No 	1876	1958	0	124	0	1		1937
594	0	Yes	1970	2001	1	25	0	0		
595	0	No 	1935	1994	0	11	0	0		
596	0	Yes	1897	1940	0	40	0	0		
597	0	Yes	1897	1990	0	73	0	0		
598	0	Yes	1937	2001	1	22	0	0		
599	0	Yes	1900	1993	0	45	2	2	1932	1932
600	0	Yes	1963	2001	1	38	1	1	1997	1997
601	0	No 	1946	2001	1	47	0	1		1994
602	0	No 	1951	2001	1	52	0	0		
603	0	Yes	1907	1999	0	43	0	0		
604	0	Yes	1928	1998	0	37	0	0		
605	0	No 	1966	2001	1	21	0	1		1992
606	1	No 	1940	2001	1	31	0	0		
607	1	Yes	1905	1982	0	125	1	2	1981	1940
608	1	Yes	1928	2001	1	88	0	0		
609	1	No 	1871	1956	0	89	0	0		
610	1	No 	1874	1965	0	52	0	1		1942
611	1	Yes	1902	1974	0	22	0	0		
612	1	No 	1883	1952	0	64	0	0		
613	1	No 	1898	1939	0	49	0	0		
614	1	Yes	1911	2001	1	29	0	0		
615	1	No 	1889	1947	0	91	0	0		
616	0	No 	1906	1986	0	46	0	1		1959
617	0	Yes	1890	1973	0	31	0	0		
618	0	No 	1939	2001	1	8	0	0		
619	0	Yes	1914	1999	0	74	0	0		
620	0	Yes	1958	2001	1	27	1	3	1993	1987
621	0	Yes	1897	1960	0	26	0	1		1950
622	0	Yes	1931	2001	1	37	0	1		1957
623	0	Yes	1901	1979	0	25	0	0		
624	1	Yes	1950	1996	0	26	0	1		1981
625	1	Yes	1899	1967	0	69	0	0		
626	1	No 	1912	1980	0	65	1	2	1959	1959
627	1	No 	1911	2001	1	51	0	1		1944
628	1	Yes	1899	1957	0	95	1	3	1951	1943
629	1	No 	1928	1999	0	73	0	1		1965
630	1	No 	1931	2001	1	56	0	1		1968
631	1	Yes	1896	1992	0	172	0	0		
632	0	No 	1899	1980	0	3	0	1		1966
633	0	Yes	1883	1964	0	62	0	0		
634	1	Yes	1947	2001	1	14	0	0		
635	0	Yes	1964	2001	1	19	0	0		
636	0	No 	1956	2001	1	12	0	0		
637	0	No 	1961	2001	1	14	0	0		
638	0	Yes	1932	2001	1	9	0	0		
639	0	No 	1915	1982	0	56	3	7	1944	1943
640	1	No 	1925	1994	0	80	0	0		
641	0	Yes	1890	1965	0	23	0	0		
642	0	Yes	1898	1990	0	42	0	5		1931
643	0	No 	1902	1987	0	111	0	0		
644	0	No 	1926	2001	1	50	0	0		
645	0	Yes	1930	1976	0	1	0	0		
646	0	No 	1905	1982	0	38	0	0		
647	0	Yes	1913	1972	0	69	0	0		
648	0	Yes	1917	2001	1	17	0	0		
649	0	Yes	1896	1968	0	53	0	0		
650	0	No 	1952	2001	1	29	0	0		
651	0	No 	1955	2001	1	26	0	2		1975
652	0	No 	1893	1981	0	62	0	0		
653	1	No 	1875	1951	0	94	0	0		
654	1	Yes	1897	1973	0	182	0	2		1943
655	1	Yes	1907	1981	0	56	1	1	1968	1968
656	1	Yes	1907	1990	0	32	0	1		1973
657	1	No 	1930	2001	1	24	0	0		
658	1	Yes	1888	1951	0	135	0	0		
659	1	Yes	1938	2001	1	28	0	0		
660	1	No 	1922	2001	1	76	0	1		1960
661	1	Yes	1903	1984	0	126	0	0		
662	1	Yes	1925	2001	1	75	2	8	1955	1955
663	1	Yes	1937	2001	1	63	3	11	1975	1969
664	1	Yes	1903	1978	0	91	0	1		1940
665	1	Yes	1920	2001	1	113	1	3	1991	1952
666	1	Yes	1892	1982	0	32	0	0		
667	1	Yes	1898	1980	0	10	0	0		
668	1	Yes	1920	2001	1	92	0	2		1975
669	1	Yes	1920	1982	0	38	0	0		
670	1	No 	1952	2001	1	10	0	1		1968
671	1	Yes	1923	2001	1	113	0	1		1931
672	1	Yes	1916	1987	0	90	0	1		1961
673	0	Yes	1922	1964	0	20	0	0		
674	1	No 	1961	2001	1	11	0	0		
675	1	Yes	1936	1993	0	18	0	0		
676	1	Yes	1939	2001	1	60	0	1		1972
677	1	Yes	1899	1986	0	79	1	3	1942	1938
678	1	Yes	1928	1987	0	29	0	1		1981
679	1	Yes	1940	2001	1	36	0	1		1995
680	1	Yes	1931	1955	0	25	0	2		1955
681	1	Yes	1901	1967	0	61	1	1	1945	1945
682	1	Yes	1931	2001	1	115	0	1		1970
683	1	Yes	1906	1976	0	262	0	0		
684	1	No 	1939	2001	1	60	0	0		
685	1	Yes	1928	2001	1	71	0	1		1957
686	1	Yes	1886	1959	0	134	0	1		1941
687	1	No 	1909	1984	0	138	0	3		1954
688	1	Yes	1922	2001	1	22	0	0		
689	1	Yes	1887	1940	0	8	0	0		
690	1	No 	1888	1941	0	38	0	1		1940
691	1	Yes	1908	1997	0	110	1	5	1940	1939
692	1	Yes	1943	2001	1	10	0	0		
693	1	No 	1933	2001	1	44	0	0		
694	1	Yes	1912	1971	0	51	0	0		
695	1	Yes	1921	2001	1	75	0	2		1949
696	1	Yes	1947	2001	1	65	0	2		1986
697	0	Yes	1917	2001	1	5	0	0		
698	0	Yes	1923	2001	1	39	0	1		1950
699	1	Yes	1944	2001	1	60	0	0		
700	0	Yes	1939	2001	1	44	0	4		1970
701	0	Yes	1880	1967	0	163	1	1	1940	1940
702	0	Yes	1937	2001	1	64	2	7	1971	1969
703	0	No 	1941	2001	1	14	0	0		
704	0	Yes	1912	2001	1	54	0	0		
705	0	Yes	1914	2001	1	82	1	4	1948	1946
706	0	Yes	1906	1984	0	37	3	4	1928	1928
707	0	Yes	1926	2001	1	68	0	1		1960
708	0	Yes	1943	1993	0	27	0	0		
709	0	No 	1939	2001	1	20	0	1		1971
710	0	Yes	1963	2001	1	18	0	0		
711	0	Yes	1930	1985	0	14	0	0		
712	1	Yes	1939	2001	1	23	0	1		1973
713	1	Yes	1922	2000	0	96	2	3	1976	1976
714	1	Yes	1900	1970	0	36	0	0		
715	1	Yes	1953	2001	1	36	0	0		
716	1	No 	1919	1980	0	84	0	0		
717	1	Yes	1965	2001	1	3	0	1		1992
718	0	Yes	1905	1991	0	68	0	1		1943
719	1	No 	1897	1975	0	73	0	0		
720	0	Yes	1896	1981	0	14	0	0		
721	0	Yes	1924	1977	0	25	0	1		1952
722	0	Yes	1926	2000	0	22	0	0		
723	0	No 	1929	2001	1	88	0	2		1948
724	0	No 	1933	2001	1	64	0	0		
725	1	No 	1932	2001	1	75	0	0		
726	0	Yes	1932	1967	0	3	0	0		
727	0	Yes	1922	1973	0	3	0	0		
728	0	Yes	1925	2001	1	41	0	1		1945
729	0	Yes	1894	1929	0	3	0	1		1929
730	0	Yes	1949	2001	1	11	0	1		1972
731	1	Yes	1949	2001	1	55	0	4		1971
732	1	Yes	1918	1961	0	49	0	1		1950
733	1	Yes	1944	2001	1	33	0	0		
734	0	Yes	1960	2001	1	9	0	0		
735	0	No 	1939	2001	1	12	0	0		
736	0	Yes	1962	2001	1	36	0	0		
737	0	Yes	1919	2001	1	27	1	5	1943	1943
738	0	No 	1958	2001	1	32	0	1		1994
739	1	No 	1944	2001	1	19	0	0		
740	1	No 	1948	2001	1	32	1	1	1990	1990
741	1	No 	1944	2001	1	49	0	0		
742	1	Yes	1935	2001	1	45	0	0		
743	0	Yes	1949	2001	1	26	2	6	1982	1982
744	0	No 	1909	1994	0	35	1	2	1989	1945
745	0	Yes	1864	1944	0	44	0	0		
746	0	Yes	1944	2001	1	45	0	2		1978
747	1	Yes	1913	1989	0	164	0	0		
748	1	Yes	1953	2001	1	23	0	0		
749	1	Yes	1922	2001	1	64	0	0		
750	0	Yes	1919	1996	0	17	1	1	1955	1955
751	0	Yes	1956	2001	1	23	0	3		1995
752	0	Yes	1906	1979	0	110	0	1		1951
753	0	Yes	1904	1977	0	99	1	3	1945	1945
754	0	Yes	1962	2001	1	26	0	2		1988
755	0	No 	1917	2001	1	54	1	3	1941	1940
756	0	No 	1921	1987	0	39	0	0		
757	0	Yes	1934	1983	0	32	0	1		1981
758	0	No 	1926	2001	1	12	0	1		1945
759	0	No 	1929	2001	1	41	0	1		1992
760	0	Yes	1929	1987	0	51	0	0		
761	0	Yes	1924	1977	0	6	0	0		
762	0	Yes	1931	2001	1	16	0	0		
763	0	Yes	1919	1978	0	27	0	0		
764	0	Yes	1902	1984	0	26	0	0		
765	0	Yes	1934	2001	1	16	0	0		
766	0	No 	1946	2001	1	23	0	0		
767	0	Yes	1923	1996	0	32	0	0		
768	0	Yes	1930	2001	1	54	1	4	1957	1957
769	0	Yes	1953	2001	1	37	0	0		
770	0	Yes	1923	1979	0	1	0	1		1966
771	0	Yes	1962	2001	1	46	2	4	1988	1976
772	1	Yes	1892	1973	0	69	0	0		
773	1	Yes	1944	2001	1	6	0	0		
774	1	Yes	1913	1980	0	1	0	0		
775	1	Yes	1920	2001	1	17	0	1		1955
776	1	Yes	1943	2001	1	30	1	2	1990	1980
777	1	Yes	1937	1989	0	52	0	0		
778	1	Yes	1932	2001	1	22	1	1	1972	1972
779	1	Yes	1933	1987	0	37	0	0		
780	1	Yes	1906	1947	0	45	0	0		
781	1	Yes	1941	2001	1	19	0	0		
782	1	No 	1901	1992	0	67	0	0		
783	1	Yes	1916	1989	0	19	0	0		
784	1	Yes	1914	1986	0	13	0	0		
785	1	Yes	1948	2001	1	29	0	0		
786	1	Yes	1929	1989	0	45	0	1		1967
787	1	Yes	1915	2001	1	14	0	0		
788	1	Yes	1918	1971	0	8	0	1		1945
789	1	Yes	1915	1992	0	121	0	0		
790	1	Yes	1940	2001	1	13	0	0		
791	1	Yes	1913	1952	0	42	0	2		1938
792	1	No 	1904	2000	0	117	1	2	1981	1964
793	1	Yes	1914	1955	0	36	0	0		
794	1	No 	1902	1988	0	60	1	1	1973	1973
795	1	No 	1940	2001	1	78	0	2		1978
796	1	Yes	1906	1987	0	109	0	1		1963
797	1	Yes	1906	1968	0	69	0	0		
798	1	No 	1914	1992	0	139	0	1		1949
799	1	Yes	1916	2000	0	60	0	0		
800	1	No 	1912	1983	0	119	0	0		
801	1	Yes	1945	2001	1	55	0	2		1982
802	1	No 	1898	1988	0	83	0	0		
803	1	No 	1940	2001	1	38	0	0		
804	1	Yes	1953	2001	1	41	0	2		1984
805	1	Yes	1907	1984	0	54	0	1		1970
806	1	Yes	1892	1960	0	170	0	0		
807	1	No 	1908	2001	1	121	1	1	1970	1970
808	1	Yes	1938	2001	1	47	0	0		
809	1	Yes	1937	2001	1	48	0	0		
810	1	No 	1899	1987	0	139	0	0		
811	1	Yes	1949	2001	1	55	0	0		
812	1	Yes	1944	2001	1	30	0	0		
813	1	Yes	1931	1995	0	35	0	0		
814	1	Yes	1954	2001	1	32	0	2		1977
815	1	No 	1935	2001	1	75	0	0		
816	1	Yes	1907	1979	0	212	1	2	1969	1949
817	1	No 	1937	2001	1	50	0	0		
818	1	Yes	1942	2001	1	5	0	0		
819	1	Yes	1957	2001	1	23	0	0		
820	1	Yes	1938	2001	1	35	1	3	1978	1969
821	1	No 	1909	1992	0	96	1	3	1950	1948
822	1	No 	1902	1982	0	66	0	0		
823	1	No 	1897	1975	0	59	0	0		
824	1	Yes	1927	2001	1	56	0	0		
825	1	Yes	1920	2001	1	60	0	0		
826	1	No 	1895	1964	0	53	1	1	1937	1937
827	0	Yes	1884	1957	0	5	1	1	1950	1950
828	1	Yes	1946	2001	1	34	0	0		
829	0	No 	1898	1993	0	31	0	0		
830	0	Yes	1907	1997	0	124	0	0		
831	0	Yes	1932	1987	0	29	0	0		
832	0	No 	1919	2001	1	8	0	2		1963
833	1	Yes	1947	1998	0	43	0	0		
834	0	Yes	1922	2001	1	30	0	1		1949
835	1	Yes	1935	2001	1	24	0	1		1980
836	1	Yes	1915	1974	0	19	0	0		
837	0	No 	1934	2001	1	28	1	3	1998	1986
838	0	No 	1898	1992	0	35	0	1		1940
839	0	No 	1912	1974	0	41	0	0		
840	0	No 	1955	2001	1	29	0	2		1984
841	0	Yes	1922	1969	0	60	0	2		1954
842	0	Yes	1922	1965	0	15	1	1	1950	1950
843	0	Yes	1967	2001	1	30	1	3	2000	1989
844	1	No 	1957	2001	1	40	0	0		
845	0	Yes	1961	2001	1	28	0	2		1997
846	0	No 	1935	2001	1	27	1	3	1964	1964
847	0	Yes	1930	1991	0	19	0	0		
848	0	Yes	1954	2001	1	31	0	0		
849	0	No 	1940	2001	1	38	1	3	1965	1965
850	0	Yes	1899	1989	0	33	0	0		
851	0	Yes	1946	2001	1	14	0	0		
852	0	Yes	1925	2001	1	64	0	1		1952
853	0	Yes	1940	2001	1	22	0	0		
854	0	No 	1950	2001	1	22	0	2		1983
855	0	No 	1964	2001	1	24	1	2	1996	1992
856	0	Yes	1975	2001	1	26	0	1		1991
857	0	Yes	1925	2001	1	62	0	0		
858	0	Yes	1914	2001	1	28	0	0		
859	1	Yes	1971	2001	1	6	0	1		1979
860	0	No 	1915	1967	0	16	0	0		
861	0	Yes	1942	2001	1	99	0	1		1970
862	0	Yes	1905	2001	1	41	0	0		
863	0	Yes	1923	1992	0	40	0	0		
864	1	Yes	1914	2001	1	76	1	2	1951	1951
865	0	Yes	1955	2001	1	19	0	0		
866	0	No 	1951	2001	1	34	0	1		1991
867	0	No 	1930	1993	0	43	0	0		
868	0	No 	1975	2001	1	6	0	2		1995
869	0	Yes	1954	2001	1	22	0	0		
870	0	Yes	1907	2001	1	65	4	12	1933	1933
871	0	Yes	1942	2001	1	39	0	1		1967
872	0	Yes	1901	1981	0	42	0	0		
873	0	Yes	1912	1983	0	3	0	0		
874	0	Yes	1919	2001	1	106	0	0		
875	0	Yes	1954	2001	1	52	0	1		1995
876	0	Yes	1954	2001	1	27	0	1		1985
877	0	Yes	1964	2001	1	28	0	0		
878	0	Yes	1948	2001	1	15	0	0		
879	0	Yes	1948	2001	1	37	1	2	1990	1986
880	0	No 	1900	1973	0	13	1	1	1943	1943
881	0	No 	1958	2001	1	8	0	0		
882	0	No 	1927	2001	1	39	0	1		1954
883	0	No 	1909	1980	0	31	0	0		
884	0	Yes	1914	1980	0	32	0	1		1968
885	0	Yes	1916	1988	0	28	0	0		
886	1	Yes	1956	2001	1	37	0	0		
887	1	No 	1926	2001	1	34	0	0		
888	0	Yes	1944	2001	1	11	0	0		
889	0	Yes	1957	2001	1	28	0	0		
890	1	Yes	1916	1978	0	2	0	0		
891	1	Yes	1895	1962	0	60	0	0		
892	1	No 	1960	2001	1	23	0	1		1989
893	1	No 	1944	2001	1	24	0	0		
894	1	Yes	1901	1972	0	114	0	0		
895	1	Yes	1934	1999	0	17	0	0		
896	1	Yes	1955	2001	1	37	0	1		1990
897	1	Yes	1947	2001	1	26	1	1	1988	1988
898	1	Yes	1914	2001	1	96	0	1		1951
899	1	Yes	1959	2001	1	33	2	2	1995	1995
900	0	Yes	1953	2001	1	32	1	1	1997	1997
901	0	Yes	1922	2001	1	48	1	1	1951	1951
902	0	No 	1921	2001	1	8	0	2		1964
903	1	Yes	1917	2001	1	13	0	0		
904	1	Yes	1916	2001	1	92	0	3		1949
905	1	No 	1894	1961	0	68	0	0		
906	0	Yes	1902	1954	0	30	0	0		
907	0	Yes	1944	2001	1	13	0	0		
908	1	No 	1944	2001	1	8	0	1		1985
909	0	No 	1960	2001	1	31	0	1		1996
910	1	Yes	1943	2001	1	35	0	0		
911	0	Yes	1890	1973	0	10	0	0		
912	0	Yes	1921	1995	0	59	0	1		1957
913	1	Yes	1943	2001	1	54	0	0		
914	1	Yes	1899	1972	0	224	0	0		
915	1	Yes	1936	2001	1	58	0	0		
916	0	Yes	1970	2001	1	35	0	0		
917	0	Yes	1917	2001	1	46	0	0		
918	1	Yes	1946	2001	1	14	0	0		
919	1	Yes	1915	1996	0	33	0	0		
920	1	Yes	1914	1975	0	43	0	1		1946
921	1	Yes	1881	1951	0	85	0	0		
922	0	Yes	1966	2001	1	27	0	1		1991
923	0	Yes	1924	2001	1	48	0	1		1948
924	1	Yes	1961	2001	1	39	0	1		1993
925	1	No 	1928	1973	0	57	0	1		1959
926	1	No 	1907	1989	0	117	1	10	1948	1939
927	1	No 	1953	2001	1	17	0	0		
928	1	Yes	1896	1960	0	7	0	1		1930
929	0	Yes	1887	1971	0	30	0	0		
930	0	Yes	1927	2001	1	74	1	4	1975	1951
931	1	Yes	1911	1976	0	75	0	2		1954
932	1	Yes	1924	1987	0	70	1	1	1965	1965
933	0	Yes	1906	1982	0	69	0	0		
934	0	Yes	1935	1991	0	61	0	1		1962
935	1	Yes	1926	1999	0	23	0	0		
936	1	No 	1899	1982	0	10	0	1		1974
937	1	Yes	1898	1968	0	38	0	1		1964
938	1	Yes	1908	1991	0	12	0	0		
939	1	Yes	1911	1986	0	94	0	0		
940	0	Yes	1945	2001	1	23	0	0		
941	0	Yes	1938	2001	1	26	0	0		
942	0	No 	1955	2001	1	19	0	1		1989
943	1	Yes	1905	1978	0	56	0	1		1947
944	1	No 	1920	2001	1	61	0	0		
945	1	No 	1938	1988	0	9	0	1		1971
946	1	No 	1926	1984	0	16	0	0		
947	1	Yes	1974	2001	1	13	0	1		1993
948	0	Yes	1923	1983	0	15	0	0		
949	0	Yes	1946	2001	1	48	0	1		1982
950	0	Yes	1958	2001	1	4	0	1		1977
951	0	No 	1931	2001	1	53	0	2		1953
952	1	No 	1902	1978	0	69	0	0		
953	1	No 	1893	1943	0	30	0	2		1933
954	1	Yes	1908	1996	0	103	0	1		1948
955	1	Yes	1878	1953	0	153	0	1		1929
956	1	No 	1952	2001	1	39	0	1		1993
957	0	No 	1918	2000	0	36	1	1	1964	1964
958	0	No 	1896	1994	0	19	0	1		1963
959	0	Yes	1899	1993	0	87	0	1		1946
960	0	Yes	1939	2001	1	25	0	1		1975
961	0	Yes	1959	2001	1	44	0	1		1973
962	0	Yes	1942	2001	1	8	0	0		
963	0	Yes	1945	2001	1	23	1	1	1983	1983
964	0	Yes	1900	1987	0	2	0	0		
965	0	Yes	1948	2001	1	32	0	1		1984
966	0	No 	1967	2001	1	4	0	0		
967	1	Yes	1878	1954	0	169	1	1	1931	1931
968	0	No 	1957	2001	1	37	0	0		
969	0	Yes	1961	2001	1	12	0	0		
970	0	Yes	1955	2001	1	26	0	0		
971	0	Yes	1908	2001	1	27	0	0		
972	0	No 	1939	2001	1	48	0	2		1972
973	0	Yes	1946	2001	1	36	1	2	1972	1969
974	1	No 	1924	2001	1	48	0	0		
975	1	Yes	1902	1985	0	111	0	0		
976	0	Yes	1950	2001	1	24	0	0		
977	0	Yes	1930	2001	1	35	0	0		
978	0	Yes	1913	2000	0	101	1	2	1947	1947
979	1	No 	1915	1987	0	108	0	0		
980	0	Yes	1954	2001	1	23	0	1		1990
981	0	No 	1900	1981	0	5	0	1		1961
982	1	Yes	1895	1956	0	71	0	1		1950
983	1	Yes	1936	2001	1	82	1	1	1982	1982
984	1	Yes	1918	2001	1	28	0	0		
985	0	Yes	1946	2001	1	19	0	0		
986	0	Yes	1902	1962	0	128	0	0		
987	0	Yes	1934	2001	1	56	1	1	1975	1975
988	0	Yes	1878	1965	0	41	0	1		1928
989	0	No 	1879	1962	0	36	0	1		1943
990	0	No 	1914	2001	1	12	2	2	1936	1936
991	1	Yes	1903	1984	0	33	0	0		
992	1	Yes	1905	1967	0	42	0	0		
993	0	Yes	1940	2001	1	14	0	0		
994	0	Yes	1930	2001	1	19	0	1		1968
995	0	No 	1887	1983	0	3	0	1		1932
996	0	No 	1943	2001	1	53	0	2		1966
997	0	No 	1963	2001	1	35	0	0		
998	1	Yes	1935	2001	1	115	0	0		
999	0	Yes	1901	1982	0	29	0	0		
1000	0	Yes	1942	1999	0	36	0	2		1973
1001	0	No 	1926	2001	1	15	0	0		
1002	0	Yes	1910	1992	0	82	0	0		
1003	0	No 	1895	1968	0	133	0	0		
1004	0	Yes	1928	1978	0	4	0	1		1953
1005	0	No 	1934	2001	1	35	2	5	1969	1964
1006	1	Yes	1933	2001	1	52	0	1		1966
1007	1	Yes	1907	1992	0	37	0	0		
1008	1	Yes	1910	2001	1	145	0	0		
1009	1	No 	1923	1996	0	121	0	3		1962
1010	0	Yes	1924	2001	1	37	0	0		
1011	0	Yes	1959	2001	1	44	0	1		1995
1012	0	Yes	1940	2001	1	29	0	1		1985
1013	0	No 	1923	1996	0	10	0	0		
1014	0	No 	1922	1976	0	32	0	1		1971
1015	0	No 	1906	1996	0	6	0	0		
1016	0	No 	1892	1972	0	47	1	1	1963	1963
1017	0	Yes	1911	1960	0	17	0	1		1938
1018	0	Yes	1950	2001	1	16	0	0		
1019	0	No 	1881	1956	0	20	0	1		1941
1020	0	Yes	1935	2001	1	45	0	0		
1021	0	Yes	1929	2001	1	8	0	0		
1022	0	No 	1876	1949	0	21	0	2		1936
1023	0	No 	1926	2001	1	50	0	0		
1024	0	Yes	1967	2001	1	7	0	1		1996
1025	0	No 	1869	1934	0	30	1	2	1931	1930
1026	0	No 	1922	2001	1	15	0	0		
1027	0	Yes	1898	1983	0	3	0	0		
1028	0	No 	1944	2001	1	36	0	1		1976
1029	0	No 	1944	2001	1	46	0	0		
1030	0	Yes	1961	2001	1	25	0	1		1979
1031	0	Yes	1924	1981	0	9	0	0		
1032	0	Yes	1920	2001	1	1	0	0		
1033	0	Yes	1916	1985	0	64	0	0		
1034	0	Yes	1947	2001	1	24	0	0		
1035	0	No 	1932	2001	1	17	0	1		1955
1036	0	Yes	1963	2001	1	11	0	0		
1037	1	No 	1912	1998	0	58	0	0		
1038	0	Yes	1900	1986	0	19	0	0		
1039	0	Yes	1890	1975	0	88	0	1		1947
1040	0	Yes	1889	1970	0	59	0	2		1931
1041	0	Yes	1938	2001	1	8	0	0		
1042	0	Yes	1965	2001	1	9	1	1	1986	1986
1043	0	No 	1904	1992	0	50	0	1		1931
1044	1	Yes	1924	2001	1	45	2	8	1954	1951
1045	0	Yes	1931	2001	1	6	0	0		
1046	0	Yes	1917	2001	1	74	0	0		
1047	0	Yes	1942	2001	1	23	0	4		1973
1048	1	Yes	1896	1971	0	25	0	0		
1049	0	Yes	1924	2001	1	76	0	1		1958
1050	0	Yes	1914	2001	1	40	0	1		1940
1051	0	Yes	1907	1983	0	29	0	0		
1052	1	Yes	1919	1996	0	104	1	1	1965	1965
1053	1	No 	1918	2001	1	76	0	0		
1054	1	Yes	1928	2001	1	82	1	3	1994	1988
1055	1	Yes	1942	2001	1	53	0	0		
1056	0	Yes	1920	2001	1	30	0	0		
1057	0	Yes	1906	1987	0	118	1	1	1941	1931
1058	0	Yes	1952	2001	1	3	0	1		1962
1059	0	Yes	1948	2001	1	20	0	0		
1060	0	Yes	1907	2001	1	45	0	0		
1061	0	Yes	1958	2001	1	13	0	1		1986
1062	0	Yes	1905	1969	0	127	0	0		
1063	0	No 	1882	1963	0	181	0	0		
1064	0	Yes	1947	2001	1	45	0	0		
1065	0	Yes	1899	1985	0	60	0	0		
1066	0	Yes	1923	1980	0	13	0	0		
1067	0	Yes	1952	2001	1	14	0	2		1990
1068	0	No 	1893	1979	0	208	1	1	1929	1929
1069	0	Yes	1953	2001	1	35	1	1	1980	1980
1070	0	Yes	1907	1989	0	122	0	0		
1071	0	Yes	1936	2001	1	37	0	1		1980
1072	0	No 	1933	1975	0	10	0	1		1960
1073	0	Yes	1964	2001	1	16	0	0		
1074	1	No 	1918	2001	1	54	0	0		
1075	1	Yes	1953	1994	0	10	0	1		1995
1076	1	Yes	1971	2001	1	13	0	1		1997
1077	0	No 	1875	1960	0	103	0	0		
1078	0	No 	1946	2001	1	14	0	0		
1079	0	Yes	1952	2001	1	3	0	0		
1080	0	Yes	1925	2001	1	46	1	4	1981	1958
1081	1	Yes	1891	1938	0	58	0	0		
1082	1	No 	1888	1972	0	52	0	2		1930
1083	1	Yes	1910	1985	0	7	0	0		
1084	1	No 	1929	2001	1	97	0	1		1988
1085	1	No 	1901	1975	0	105	0	0		
1086	1	No 	1930	2001	1	58	1	3	1961	1961
1087	0	Yes	1916	1990	0	12	0	0		
1088	0	No 	1858	1942	0	63	0	1		1933
1089	0	No 	1865	1948	0	29	0	2		1937
1090	0	No 	1923	2001	1	8	0	0		
1091	0	Yes	1960	2001	1	20	0	1		1985
1092	1	Yes	1926	2001	1	32	0	0		
1093	0	Yes	1957	2001	1	37	0	1		1988
1094	0	Yes	1952	2001	1	27	0	0		
1095	0	No 	1920	1994	0	18	0	1		1960
1096	0	Yes	1939	2001	1	35	0	2		1977
1097	0	Yes	1951	2001	1	5	0	0		
1098	0	Yes	1957	2001	1	14	0	0		
1099	1	Yes	1901	1981	0	90	2	3	1963	1963
1100	0	Yes	1918	2001	1	33	1	2	1949	1949
1101	0	Yes	1954	2001	1	20	1	1	1991	1991
1102	0	No 	1911	1979	0	54	0	1		1935
1103	0	Yes	1949	2001	1	44	2	12	1979	1978
1104	1	No 	1905	1967	0	134	0	1		1936
1105	1	Yes	1922	2001	1	85	0	0		
1106	1	No 	1933	2001	1	96	2	5	1986	1966
1107	1	Yes	1935	2001	1	38	0	0		
1108	1	No 	1891	1955	0	13	0	1		1945
1109	1	Yes	1925	2001	1	49	0	0		
1110	1	Yes	1927	2001	1	63	0	0		
1111	1	Yes	1944	2001	1	39	1	1	1987	1987
1112	1	Yes	1934	1973	0	22	0	1		1965
1113	1	Yes	1922	2001	1	42	0	0		
1114	1	No 	1911	1995	0	122	0	0		
1115	1	Yes	1939	2001	1	51	0	1		1967
1116	1	Yes	1952	2001	1	21	0	0		
1117	1	Yes	1941	2001	1	73	0	1		1991
1118	1	Yes	1931	2001	1	30	0	0		
1119	1	No 	1957	2001	1	13	0	0		
1120	1	No 	1889	1975	0	62	0	0		
1121	1	Yes	1925	2001	1	14	0	0		
1122	1	Yes	1941	2001	1	33	0	0		
1123	1	Yes	1955	2001	1	30	0	1		1980
1124	1	Yes	1938	2001	1	60	0	0		
1125	1	No 	1908	1985	0	63	0	1		1947
1126	1	Yes	1907	1961	0	50	0	0		
1127	1	No 	1921	2001	1	4	0	0		
1128	1	Yes	1923	1995	0	30	0	1		1974
1129	1	No 	1935	2001	0	23	0	0		
1130	0	Yes	1957	2001	1	31	0	3		1988
1131	1	Yes	1920	2001	1	205	0	4		1939
1132	1	Yes	1920	1985	0	32	0	0		
1133	1	Yes	1939	2001	1	40	0	0		
1134	1	No 	1948	2001	1	18	0	1		1977
1135	0	Yes	1904	1991	0	38	0	2		1951
1136	0	Yes	1908	1994	0	36	0	1		1967
1137	0	No 	1900	1980	0	1	0	1		1938
1138	1	No 	1900	1953	0	26	0	0		
1139	1	No 	1926	2001	1	40	0	0		
1140	0	Yes	1896	1966	0	160	0	0		
1141	0	Yes	1892	1973	0	78	0	0		
1142	0	No 	1972	2001	1	9	0	1		1997
1143	0	Yes	1967	2001	1	15	1	1	1995	1995
1144	0	No 	1958	2001	1	29	0	2		1992
1145	0	Yes	1902	1984	0	37	0	1		1935
1146	0	No 	1925	2001	1	26	0	0		
1147	0	Yes	1964	2001	1	20	1	1	1992	1992
1148	0	No 	1929	2001	1	5	1	1	1957	1957
1149	0	No 	1910	2001	1	52	0	0		
